2026-05-05 20:21:19 | Controller | INFO | controller.py:482 | [512_single_run:Controller] Built context 2 (df0130a5...) successfully in 35.40s
2026-05-05 20:21:19 | Controller | INFO | controller.py:523 | [512_single_run:Controller] Completed parallel context building for 1 context(s)
2026-05-05 20:21:19 | Controller | INFO | controller.py:920 | [512_single_run:Controller] Created 4 query processing actors (generic pool)
2026-05-05 20:21:19 | Controller | INFO | controller.py:931 | [512_single_run:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-05 20:21:19 | Controller | INFO | controller.py:1118 | [512_single_run:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 60 RPM, 500000 TPM)
2026-05-05 20:21:19 | Controller | INFO | controller.py:1124 | [512_single_run:Controller] Starting multi-pipeline inference scheduling...
2026-05-05 20:21:19 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 0 (1 batches)
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_single_run:QueryProcessingActor-0] Initializing new inference engine (config hash: c5e4979e)
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 20:21:42 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 20:21:43 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:21:45 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 0 (1 batches)
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [512_single_run:QueryProcessingActor-1] Initializing new inference engine (config hash: c5e4979e)
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 20:21:45 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 20:21:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:21:47 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 20:21:47 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 2 for shard 0 (1 batches)
