2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [temp0.2_512:QueryProcessingActor-2] Initializing new inference engine (config hash: 20729a26)
2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-04 20:33:33 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-04 20:33:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:33:35 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-04 20:33:35 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 12 (Pipeline 12) on actor 3 for shard 0 (1 batches)
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [temp0.2_512:QueryProcessingActor-3] Initializing new inference engine (config hash: 20729a26)
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-04 20:33:36 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-04 20:33:36 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:33:38 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-04 20:41:20 | Controller | INFO | controller.py:1299 | [temp0.2_512:Controller] Pipeline 9 completed shard 0 (1 batches, 469.70s)
2026-05-04 20:41:20 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 9 (Pipeline 9) on actor 0 for shard 1 (1 batches)
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512:QueryProcessingActor-0] Reusing existing inference engine (config hash: 20729a26)
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 20:41:20 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 20:41:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:41:23 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 20:41:23 | Controller | INFO | controller.py:1299 | [temp0.2_512:Controller] Pipeline 10 completed shard 0 (1 batches, 469.90s)
2026-05-04 20:41:23 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 10 (Pipeline 10) on actor 1 for shard 1 (1 batches)
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.2_512:QueryProcessingActor-1] Reusing existing inference engine (config hash: 20729a26)
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 20:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 20:41:23 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:41:25 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 20:46:53 | Controller | INFO | controller.py:1299 | [temp0.2_512:Controller] Pipeline 11 completed shard 0 (1 batches, 797.09s)
2026-05-04 20:46:53 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 11 (Pipeline 11) on actor 2 for shard 1 (1 batches)
2026-05-04 20:46:53 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [temp0.2_512:QueryProcessingActor-2] Reusing existing inference engine (config hash: 20729a26)
