2026-05-02 00:09:17 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:12:22 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:12:23 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:12:24 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:12:24 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:12:24 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 00:12:24 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 00:12:24 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-02 00:12:24 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:12:26 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-02 00:15:42 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:15:42 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-02 00:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-02 00:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-02 00:15:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:15:45 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-02 00:16:14 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:16:14 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:16:16 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:16:16 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:16:16 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-02 00:16:16 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-02 00:16:16 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-02 00:16:16 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:16:19 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-02 00:17:31 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:17:31 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:17:33 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:17:33 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:17:33 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-02 00:17:33 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-02 00:17:33 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-02 00:17:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:17:34 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:20:35 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:20:35 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:20:37 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:20:37 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:20:37 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 00:20:37 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 00:20:37 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-02 00:20:37 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:20:39 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-02 00:24:02 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:24:02 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:24:04 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:24:04 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:24:04 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-02 00:24:04 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-02 00:24:04 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-02 00:24:04 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:24:06 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-02 00:29:09 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:29:09 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:29:11 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:29:11 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:29:11 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-02 00:29:11 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-02 00:29:11 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-02 00:29:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:29:13 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:32:20 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:32:20 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:32:22 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:32:22 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:32:22 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 00:32:22 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 00:32:22 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-1] Recreated retriever with search_type=mmr
2026-05-02 00:32:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:32:24 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
