2026-05-06 20:04:42 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 20:04:42 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 20:04:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:04:44 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 20:04:47 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 2 completed shard 0 (1 batches, 339.23s)
2026-05-06 20:04:47 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-1] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 20:04:47 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 20:04:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:04:50 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 20:07:47 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 3 completed shard 0 (1 batches, 516.55s)
2026-05-06 20:07:47 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-2] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-06 20:07:47 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-06 20:07:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:07:49 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-06 20:08:07 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 4 completed shard 0 (1 batches, 520.39s)
2026-05-06 20:08:07 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 3 for shard 0 (1 batches)
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-3] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 20:08:07 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 20:08:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:08:09 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 20:15:34 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 5 completed shard 0 (1 batches, 649.89s)
2026-05-06 20:15:34 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 69426b2c)
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 20:15:34 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 20:15:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 20:15:37 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 20:16:52 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 6 completed shard 0 (1 batches, 720.27s)
2026-05-06 20:16:52 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
