2026-05-01 19:53:40 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 19:53:40 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 19:53:40 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 19:53:40 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 19:53:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 19:53:41 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 19:54:52 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-2] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 19:54:52 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 19:54:54 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 19:54:54 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 19:54:54 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar_3:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 19:54:54 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar_3:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 19:54:54 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar_3:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 19:54:54 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 19:54:55 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar_3:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 19:54:55 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_3:QueryProcessingActor-0] Reusing existing inference engine (config hash: b0be3d17)
2026-05-01 19:54:56 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 19:54:57 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
