2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [temp0.5retry_1:QueryProcessingActor-2] Initializing new inference engine (config hash: cb496c52)
2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.5retry_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.5retry_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.5retry_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.5retry_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-04 18:50:17 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.5retry_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-04 18:50:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:50:20 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.5retry_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-04 18:50:20 | Controller | INFO | controller.py:1422 | [temp0.5retry_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [temp0.5retry_1:QueryProcessingActor-3] Initializing new inference engine (config hash: cb496c52)
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.5retry_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.5retry_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.5retry_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.5retry_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-04 18:50:20 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.5retry_1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
