2026-05-07 11:29:00 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 11:29:00 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 11:29:00 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 11:29:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 11:29:03 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1_4:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 11:29:07 | Controller | INFO | controller.py:1299 | [512_32_temp1_4:Controller] Pipeline 6 completed shard 0 (1 batches, 274.37s)
2026-05-07 11:29:07 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 1 (1 batches)
2026-05-07 11:29:07 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1_4:QueryProcessingActor-0] Reusing existing inference engine (config hash: 0293601a)
2026-05-07 11:29:08 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:29:08 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:29:08 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 11:29:08 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 11:29:08 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 11:29:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
