2026-05-05 17:10:57 | Experiment | INFO | experiment.py:165 | [temp0.1_1:Experiment] An experiment with the same name already exists. Created a new experiment 'temp0.1_1' with Experiment ID: 25 at /home/ayliang/rapidfireai/rapidfire_experiments/temp0.1_1
2026-05-05 17:12:11 | Controller | INFO | controller.py:482 | [temp0.1_1:Controller] Built context 2 (65cd11ed...) successfully in 52.85s
2026-05-05 17:12:11 | Controller | INFO | controller.py:523 | [temp0.1_1:Controller] Completed parallel context building for 2 context(s)
2026-05-05 17:12:11 | Controller | INFO | controller.py:920 | [temp0.1_1:Controller] Created 4 query processing actors (generic pool)
2026-05-05 17:12:11 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 940c35a250454e77a6c8c4b74a4a34a6, 1
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 460d8b8735f24f34819998760abd73ec, 2
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 3f4b045fa9724de3b5f8cffbd722c1cb, 3
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 8526fa390f694a1d8811b10e25926137, 4
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 01f8087f54d847bbb980258514c411d4, 5
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 2ce59398ade648a98de380619d640cee, 6
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: b573b106c64f44039dc28eb788d514b1, 7
2026-05-05 17:12:12 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.1_1:Experiment] Created MLflow run: 1fac1db7d6d441e682bdea94e8d45cbb, 8
2026-05-05 17:12:12 | Controller | INFO | controller.py:931 | [temp0.1_1:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-05 17:12:12 | Controller | INFO | controller.py:1118 | [temp0.1_1:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-05 17:12:12 | Controller | INFO | controller.py:1124 | [temp0.1_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-05 17:12:12 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [temp0.1_1:QueryProcessingActor-0] Initializing new inference engine (config hash: cfb4626d)
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 17:12:41 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 17:12:41 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:12:44 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 17:12:44 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.1_1:QueryProcessingActor-1] Initializing new inference engine (config hash: cfb4626d)
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 17:12:44 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:12:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:12:46 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:12:46 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [temp0.1_1:QueryProcessingActor-2] Initializing new inference engine (config hash: cfb4626d)
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 17:12:47 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 17:12:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:12:49 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 17:12:49 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [temp0.1_1:QueryProcessingActor-3] Initializing new inference engine (config hash: cfb4626d)
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 17:12:50 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 17:12:50 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:12:52 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 17:13:53 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 1 completed shard 0 (1 batches, 68.53s)
2026-05-05 17:13:53 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 17:13:53 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 17:13:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:13:55 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 17:13:56 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 2 completed shard 0 (1 batches, 68.55s)
2026-05-05 17:13:56 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-1] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 17:13:56 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:13:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:13:58 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:14:55 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 3 completed shard 0 (1 batches, 124.96s)
2026-05-05 17:14:55 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-2] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 17:14:55 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 17:14:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:14:57 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 17:14:58 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 4 completed shard 0 (1 batches, 124.75s)
2026-05-05 17:14:58 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 3 for shard 0 (1 batches)
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-3] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 17:14:58 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 17:14:58 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:15:00 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 17:15:42 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 5 completed shard 0 (1 batches, 106.27s)
2026-05-05 17:15:42 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 17:15:42 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 17:15:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:15:44 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 17:15:45 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 6 completed shard 0 (1 batches, 106.11s)
2026-05-05 17:15:45 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-1] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 17:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:15:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:15:47 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:16:51 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 1 completed shard 1 (1 batches, 66.81s)
2026-05-05 17:16:52 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 2 completed shard 1 (1 batches, 64.32s)
2026-05-05 17:16:52 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 1 (1 batches)
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 17:16:52 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 17:16:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:16:54 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 17:16:54 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 1 (1 batches)
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-1] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 17:16:54 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:16:54 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:16:57 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:18:26 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 7 completed shard 0 (1 batches, 208.04s)
2026-05-05 17:18:26 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 2 for shard 1 (1 batches)
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [temp0.1_1:QueryProcessingActor-2] Reusing existing inference engine (config hash: cfb4626d)
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.1_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.1_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.1_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.1_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 17:18:26 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.1_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 17:18:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:18:28 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.1_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 17:18:32 | Controller | INFO | controller.py:1299 | [temp0.1_1:Controller] Pipeline 8 completed shard 0 (1 batches, 211.35s)
2026-05-05 17:18:32 | Controller | INFO | controller.py:1422 | [temp0.1_1:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 3 for shard 1 (1 batches)
