2026-05-02 03:41:56 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 7 (b4e7a412...) successfully in 62.78s
2026-05-02 03:41:56 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 8 (50c120c7...) successfully in 62.79s
2026-05-02 03:42:16 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor initialized
2026-05-02 03:42:17 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 03:42:17 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid:DocProcessingActor] Building document index...
2026-05-02 03:42:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 03:42:22 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:42:22 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:42:22 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 1276456 bytes
2026-05-02 03:42:22 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:42:22 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 9 (db075ec0...) successfully in 88.78s
2026-05-02 03:42:22 | Controller | INFO | controller.py:523 | [experiment_exploration_chunk_grid:Controller] Completed parallel context building for 9 context(s)
2026-05-02 03:42:22 | Controller | INFO | controller.py:920 | [experiment_exploration_chunk_grid:Controller] Created 4 query processing actors (generic pool)
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: e37a8d9a77114656a09954c070d93cbd, 1
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: 9cb9ff02e85d4769a3a883dfdace67e5, 2
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: be99e951c89d4e689fe710008910ea64, 3
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: d4aced721c364793b3e3f0ed50c39758, 4
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: 94db7f88bdfa431f8679c14e5c332735, 5
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: 3c2cce1002f4421c89930ae06bbb8df3, 6
2026-05-02 03:42:22 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_chunk_grid:Experiment] Created MLflow run: 45cbee4421df4439bf88b773fe5ddc57, 7
