2026-05-07 14:38:19 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-1] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 14:38:19 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 14:38:19 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:38:21 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 14:38:22 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 3 completed shard 0 (1 batches, 599.81s)
2026-05-07 14:38:22 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 1 (1 batches)
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-2] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 14:38:22 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 14:38:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:38:24 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 14:47:28 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 1 completed shard 1 (1 batches, 550.93s)
2026-05-07 14:47:28 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-0] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 14:47:28 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 14:47:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:47:30 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 14:47:39 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 2 completed shard 1 (1 batches, 557.27s)
2026-05-07 14:47:39 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 2 (1 batches)
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-1] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 14:47:39 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 14:47:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:47:41 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 14:47:43 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 3 completed shard 1 (1 batches, 558.34s)
2026-05-07 14:47:43 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 2 (1 batches)
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-2] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 14:47:43 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 14:47:43 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:47:45 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 14:56:32 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 1 completed shard 2 (1 batches, 542.33s)
2026-05-07 14:56:32 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-0] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 14:56:32 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 14:56:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:56:35 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 14:56:39 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 3 completed shard 2 (1 batches, 533.95s)
2026-05-07 14:56:39 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 3 (1 batches)
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-2] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 14:56:39 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 14:56:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:56:42 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 14:56:42 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 2 completed shard 2 (1 batches, 540.12s)
2026-05-07 14:56:42 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 3 (1 batches)
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [retry:QueryProcessingActor-1] Reusing existing inference engine (config hash: 7fa112dc)
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 14:56:42 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 14:56:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:56:44 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 15:05:59 | Controller | INFO | controller.py:1192 | [retry:Controller] Pipeline 1 completed all 4 shards
2026-05-07 15:05:59 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 1 completed shard 3 (1 batches, 564.41s)
2026-05-07 15:05:59 | Controller | INFO | controller.py:1192 | [retry:Controller] Pipeline 2 completed all 4 shards
2026-05-07 15:06:00 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 2 completed shard 3 (1 batches, 554.78s)
2026-05-07 15:06:23 | Controller | INFO | controller.py:1192 | [retry:Controller] Pipeline 3 completed all 4 shards
2026-05-07 15:06:23 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 3 completed shard 3 (1 batches, 581.00s)
2026-05-07 15:06:23 | Controller | INFO | controller.py:1386 | [retry:Controller] All pipelines completed all shards!
2026-05-07 15:06:23 | Controller | INFO | controller.py:695 | [retry:Controller] Computing final metrics for all pipelines...
2026-05-07 15:06:23 | Experiment | INFO | metric_rfmetric_manager.py:190 | [retry:Experiment] Ending run: c07221714154434ca3205a53a3f1f9c8, 1 in rf_mlflow
2026-05-07 15:06:23 | Experiment | WARNING | metric_mlflow_manager.py:101 | [retry:Experiment] Run c07221714154434ca3205a53a3f1f9c8 is not the active run, no local context to clear
2026-05-07 15:06:23 | Controller | INFO | controller.py:853 | [retry:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-07 15:06:23 | Experiment | INFO | metric_rfmetric_manager.py:190 | [retry:Experiment] Ending run: bfdacd5a1da24c4086673bd0cf65c152, 2 in rf_mlflow
2026-05-07 15:06:23 | Experiment | WARNING | metric_mlflow_manager.py:101 | [retry:Experiment] Run bfdacd5a1da24c4086673bd0cf65c152 is not the active run, no local context to clear
2026-05-07 15:06:23 | Controller | INFO | controller.py:853 | [retry:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-07 15:06:24 | Experiment | INFO | metric_rfmetric_manager.py:190 | [retry:Experiment] Ending run: 463f905d4c6749eca827dd282f10758b, 3 in rf_mlflow
2026-05-07 15:06:24 | Experiment | WARNING | metric_mlflow_manager.py:101 | [retry:Experiment] Run 463f905d4c6749eca827dd282f10758b is not the active run, no local context to clear
2026-05-07 15:06:24 | Controller | INFO | controller.py:853 | [retry:Controller] Pipeline 3 (Pipeline 3) completed successfully
2026-05-07 15:06:24 | ExperimentUtils | INFO | experiment_utils.py:180 | [retry:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 15:06:24 | ExperimentUtils | INFO | experiment_utils.py:188 | [retry:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 15:06:24 | ExperimentUtils | INFO | experiment_utils.py:154 | [retry:ExperimentUtils] Experiment retry ended
2026-05-07 15:06:26 | Experiment | INFO | experiment.py:574 | [retry:Experiment] All actors shut down
2026-05-07 15:06:26 | Experiment | INFO | experiment.py:575 | [retry:Experiment] Dispatcher will automatically shut down (daemon thread)
