2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Initializing new inference engine (config hash: 56874b2d)
2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 13:02:44 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 13:02:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:02:46 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 13:02:46 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Initializing new inference engine (config hash: 56874b2d)
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 13:02:46 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 13:02:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:02:48 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 13:02:48 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Initializing new inference engine (config hash: 56874b2d)
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 13:02:48 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 13:02:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:02:51 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 13:06:12 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed shard 0 (1 batches, 207.74s)
2026-05-07 13:06:12 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 56874b2d)
2026-05-07 13:06:12 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
