2026-05-05 14:55:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 14:55:11 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_19:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.2_512_19:QueryProcessingActor-1] Reusing existing inference engine (config hash: 358b9a56)
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.2_512_19:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.2_512_19:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.2_512_19:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.2_512_19:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 14:55:32 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.2_512_19:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 14:55:32 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 14:55:34 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.2_512_19:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512_19:QueryProcessingActor-0] Reusing existing inference engine (config hash: 358b9a56)
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512_19:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512_19:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512_19:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512_19:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 15:03:02 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512_19:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 15:03:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 15:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_19:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.2_512_19:QueryProcessingActor-1] Reusing existing inference engine (config hash: 358b9a56)
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.2_512_19:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.2_512_19:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.2_512_19:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.2_512_19:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 15:03:38 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.2_512_19:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 15:03:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 15:03:41 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.2_512_19:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 15:31:08 | ExperimentUtils | INFO | experiment_utils.py:180 | [temp0.2_512_19:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-05 15:31:08 | ExperimentUtils | INFO | experiment_utils.py:188 | [temp0.2_512_19:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-05 15:31:09 | ExperimentUtils | INFO | experiment_utils.py:154 | [temp0.2_512_19:ExperimentUtils] Experiment temp0.2_512_19 ended
2026-05-05 15:31:09 | Experiment | INFO | experiment.py:165 | [temp0.1:Experiment] The previously running experiment temp0.2_512_19 was forcibly ended. Created a new experiment 'temp0.1' with Experiment ID: 24 at /home/ayliang/rapidfireai/rapidfire_experiments/temp0.1
2026-05-05 15:31:37 | Experiment | WARNING | metric_rfmetric_manager.py:57 | [temp0.1:Experiment] Failed to initialize MLflowMetricLogger: MLflow server not available at http://127.0.0.1:8852. MLflow logging will be disabled. MLflow logging is disabled.
2026-05-05 15:31:37 | Experiment | INFO | experiment.py:210 | [temp0.1:Experiment] Initialized MetricLogger experiment: temp0.1
2026-05-05 15:31:37 | Experiment | INFO | experiment.py:230 | [temp0.1:Experiment] Starting new dispatcher/api server at 127.0.0.1:8851.
2026-05-05 15:31:37 | Experiment | INFO | dispatcher.py:1121 | [temp0.1:Experiment] Started interactive control dispatcher on http://127.0.0.1:8851
