2026-05-06 14:47:08 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 14:47:08 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 14:47:08 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 14:47:08 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 14:47:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 14:47:10 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 14:56:11 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 1 completed shard 2 (1 batches, 540.79s)
2026-05-06 14:56:11 | Controller | INFO | controller.py:1422 | [512_32_temp0.7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp0.7:QueryProcessingActor-0] Reusing existing inference engine (config hash: e2a5a31f)
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp0.7:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 14:56:11 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 14:56:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 14:56:13 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 14:58:02 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 2 completed shard 1 (1 batches, 887.23s)
2026-05-06 14:58:02 | Controller | INFO | controller.py:1422 | [512_32_temp0.7:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 2 (1 batches)
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp0.7:QueryProcessingActor-1] Reusing existing inference engine (config hash: e2a5a31f)
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp0.7:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 14:58:02 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 14:58:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 14:58:04 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 15:05:01 | Controller | INFO | controller.py:1192 | [512_32_temp0.7:Controller] Pipeline 1 completed all 4 shards
2026-05-06 15:05:01 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 1 completed shard 3 (1 batches, 528.19s)
2026-05-06 15:12:19 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 2 completed shard 2 (1 batches, 855.07s)
2026-05-06 15:12:19 | Controller | INFO | controller.py:1422 | [512_32_temp0.7:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp0.7:QueryProcessingActor-0] Reusing existing inference engine (config hash: e2a5a31f)
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp0.7:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 15:12:19 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 15:12:19 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 15:12:22 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 15:27:10 | Controller | INFO | controller.py:1192 | [512_32_temp0.7:Controller] Pipeline 2 completed all 4 shards
2026-05-06 15:27:10 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 2 completed shard 3 (1 batches, 888.65s)
2026-05-06 15:27:10 | Controller | INFO | controller.py:1386 | [512_32_temp0.7:Controller] All pipelines completed all shards!
2026-05-06 15:27:10 | Controller | INFO | controller.py:695 | [512_32_temp0.7:Controller] Computing final metrics for all pipelines...
2026-05-06 15:27:10 | Controller | INFO | controller.py:853 | [512_32_temp0.7:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 15:27:10 | Controller | INFO | controller.py:853 | [512_32_temp0.7:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-06 15:27:13 | Experiment | INFO | experiment.py:574 | [512_32_temp0.7:Experiment] All actors shut down
2026-05-06 15:27:13 | Experiment | INFO | experiment.py:575 | [512_32_temp0.7:Experiment] Dispatcher will automatically shut down (daemon thread)
