2026-05-02 00:02:01 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-02 00:02:01 | Controller | INFO | controller.py:1422 | [experiment_exploration_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-02 00:02:01 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experiment_exploration_1:QueryProcessingActor-2] Initializing new inference engine (config hash: 09bdf225)
2026-05-02 00:02:02 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:02:03 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_1:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:02:03 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:02:03 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-02 00:02:03 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-02 00:02:03 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_1:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-02 00:02:04 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:02:05 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-02 00:02:05 | Controller | INFO | controller.py:1422 | [experiment_exploration_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-02 00:02:05 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [experiment_exploration_1:QueryProcessingActor-3] Initializing new inference engine (config hash: 09bdf225)
2026-05-02 00:02:05 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:02:07 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration_1:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:02:07 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:02:07 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-02 00:02:07 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-02 00:02:07 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration_1:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-02 00:02:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:02:10 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-02 00:03:17 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_exploration_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 00:03:17 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_exploration_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 00:03:17 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_exploration_1:ExperimentUtils] Experiment experiment_exploration_1 ended
2026-05-02 00:03:17 | Experiment | INFO | experiment.py:165 | [experiment_exploration_2:Experiment] The previously running experiment experiment_exploration_1 was forcibly ended. Created a new experiment 'experiment_exploration_2' with Experiment ID: 26 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_exploration_2
2026-05-02 00:03:35 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_2:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 00:03:35 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_2:Experiment] Creating MLflow experiment: experiment_exploration_2
2026-05-02 00:03:35 | Experiment | INFO | experiment.py:210 | [experiment_exploration_2:Experiment] Initialized MetricLogger experiment: 23
2026-05-02 00:03:35 | Experiment | INFO | experiment.py:226 | [experiment_exploration_2:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 00:03:36 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_2:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 00:03:36 | Experiment | INFO | experiment.py:383 | [experiment_exploration_2:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-02 00:03:36 | Experiment | INFO | experiment.py:392 | [experiment_exploration_2:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 00:03:36 | Controller | INFO | controller.py:895 | [experiment_exploration_2:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 00:03:36 | Controller | INFO | controller.py:900 | [experiment_exploration_2:Controller] Received 4 pipeline configuration(s)
2026-05-02 00:03:36 | Controller | INFO | controller.py:309 | [experiment_exploration_2:Controller] Found 1 unique RAG context(s)
2026-05-02 00:03:36 | Controller | INFO | controller.py:320 | [experiment_exploration_2:Controller] Will build new context 6326ca5f...
2026-05-02 00:03:36 | Controller | INFO | controller.py:346 | [experiment_exploration_2:Controller] Building 1 context(s) in parallel...
2026-05-02 00:03:36 | Controller | INFO | controller.py:373 | [experiment_exploration_2:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-02 00:03:37 | Controller | INFO | controller.py:461 | [experiment_exploration_2:Controller] Submitted 1 build task(s) in parallel
2026-05-02 00:04:18 | Controller | INFO | controller.py:482 | [experiment_exploration_2:Controller] Built context 1 (6326ca5f...) successfully in 42.02s
2026-05-02 00:04:18 | Controller | INFO | controller.py:523 | [experiment_exploration_2:Controller] Completed parallel context building for 1 context(s)
2026-05-02 00:04:18 | Controller | INFO | controller.py:920 | [experiment_exploration_2:Controller] Created 4 query processing actors (generic pool)
2026-05-02 00:04:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_2:Experiment] Created MLflow run: a0f41220bdc04ab38cec314bc53e4d21, 1
2026-05-02 00:04:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_2:Experiment] Created MLflow run: 6c2a89b6a1c949fda9add286ef9e308a, 2
2026-05-02 00:04:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_2:Experiment] Created MLflow run: a38616f4d22c40c0b976278aea89d6f2, 3
2026-05-02 00:04:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_2:Experiment] Created MLflow run: 187b67a1902f43e3acc5580f58237d65, 4
2026-05-02 00:04:19 | Controller | INFO | controller.py:931 | [experiment_exploration_2:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-02 00:04:19 | Controller | INFO | controller.py:1118 | [experiment_exploration_2:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-02 00:04:19 | Controller | INFO | controller.py:1124 | [experiment_exploration_2:Controller] Starting multi-pipeline inference scheduling...
2026-05-02 00:04:19 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-02 00:04:44 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-02 00:04:48 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-02 00:04:52 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-02 00:06:20 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 1 completed shard 0 (1 batches, 96.09s)
2026-05-02 00:06:20 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-02 00:06:40 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 3 completed shard 0 (1 batches, 103.91s)
2026-05-02 00:06:40 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 1 (1 batches)
2026-05-02 00:08:23 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 3 completed shard 1 (1 batches, 99.37s)
2026-05-02 00:08:23 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 2 (1 batches)
2026-05-02 00:09:13 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 1 completed shard 1 (1 batches, 169.24s)
2026-05-02 00:09:13 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-02 00:12:22 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 2 completed shard 0 (1 batches, 453.62s)
2026-05-02 00:12:22 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-02 00:15:42 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 3 completed shard 2 (1 batches, 435.62s)
2026-05-02 00:15:42 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 3 (1 batches)
2026-05-02 00:16:14 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 4 completed shard 0 (1 batches, 677.42s)
2026-05-02 00:16:14 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 1 (1 batches)
2026-05-02 00:17:31 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 1 completed shard 2 (1 batches, 493.44s)
2026-05-02 00:17:31 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-02 00:20:35 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 2 completed shard 1 (1 batches, 488.38s)
2026-05-02 00:20:35 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 2 (1 batches)
2026-05-02 00:21:49 | Controller | INFO | controller.py:1192 | [experiment_exploration_2:Controller] Pipeline 3 completed all 4 shards
2026-05-02 00:21:49 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 3 completed shard 3 (1 batches, 363.85s)
2026-05-02 00:24:02 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 4 completed shard 1 (1 batches, 463.25s)
2026-05-02 00:24:02 | Controller | INFO | controller.py:1422 | [experiment_exploration_2:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 2 for shard 2 (1 batches)
2026-05-02 00:25:17 | Controller | INFO | controller.py:1192 | [experiment_exploration_2:Controller] Pipeline 1 completed all 4 shards
2026-05-02 00:25:18 | Controller | INFO | controller.py:1299 | [experiment_exploration_2:Controller] Pipeline 1 completed shard 3 (1 batches, 463.43s)
