2026-05-06 19:14:38 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_8:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_8:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_8:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_8:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_8:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 19:14:39 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_8:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 19:20:41 | Controller | INFO | controller.py:1192 | [experiment_hybrid_8:Controller] Pipeline 2 completed all 4 shards
2026-05-06 19:20:41 | Controller | INFO | controller.py:1299 | [experiment_hybrid_8:Controller] Pipeline 2 completed shard 3 (1 batches, 356.50s)
2026-05-06 19:20:41 | Controller | INFO | controller.py:1386 | [experiment_hybrid_8:Controller] All pipelines completed all shards!
2026-05-06 19:20:41 | Controller | INFO | controller.py:695 | [experiment_hybrid_8:Controller] Computing final metrics for all pipelines...
2026-05-06 19:20:41 | Controller | INFO | controller.py:853 | [experiment_hybrid_8:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-06 19:20:43 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_8:Experiment] All actors shut down
2026-05-06 19:20:43 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_8:Experiment] Dispatcher will automatically shut down (daemon thread)
2026-05-06 19:46:18 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_8:Experiment] All actors shut down
2026-05-06 19:46:18 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_8:Experiment] Dispatcher will automatically shut down (daemon thread)
