2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 11:25:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:25:19 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 11:27:01 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-01 11:27:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 11:27:04 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 11:27:59 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-01 11:27:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 11:32:09 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 11:32:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 11:32:11 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 11:33:53 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 11:33:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:33:55 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 11:36:23 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 11:36:23 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 11:36:25 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 11:37:59 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:38:00 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:38:02 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 11:38:02 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:38:02 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 11:38:02 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 11:38:02 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-01 11:38:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:38:03 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 11:41:10 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:41:10 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:41:12 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
