2026-05-07 21:40:54 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:41:04 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 6 completed shard 0 (1 batches, 719.66s)
2026-05-07 21:41:04 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 21:41:04 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 21:41:04 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:41:06 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 21:43:25 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 1 completed shard 1 (1 batches, 150.42s)
2026-05-07 21:43:25 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 1 (1 batches)
2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:43:25 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
