2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Initializing new inference engine (config hash: ebefcdb1)
2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-03 19:36:20 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-03 19:36:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:36:22 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-03 19:38:56 | Controller | INFO | controller.py:1299 | [experiment_exploration_fixed_chunking:Controller] Pipeline 1 completed shard 0 (1 batches, 160.98s)
2026-05-03 19:38:56 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Reusing existing inference engine (config hash: ebefcdb1)
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 19:38:56 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 19:38:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:38:58 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 19:39:20 | Controller | INFO | controller.py:1299 | [experiment_exploration_fixed_chunking:Controller] Pipeline 2 completed shard 0 (1 batches, 182.46s)
2026-05-03 19:39:20 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Reusing existing inference engine (config hash: ebefcdb1)
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-03 19:39:20 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-03 19:39:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:39:22 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-03 19:42:29 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_exploration_fixed_chunking:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-03 19:42:29 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_exploration_fixed_chunking:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-03 19:42:29 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_exploration_fixed_chunking:ExperimentUtils] Experiment experiment_exploration_fixed_chunking ended
2026-05-03 19:42:29 | Experiment | INFO | experiment.py:165 | [16_overlap:Experiment] The previously running experiment experiment_exploration_fixed_chunking was forcibly ended. Created a new experiment '16_overlap' with Experiment ID: 10 at /home/ayliang/rapidfireai/rapidfire_experiments/16_overlap
2026-05-03 19:42:47 | Experiment | INFO | metric_rfmetric_manager.py:55 | [16_overlap:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-03 19:42:47 | Experiment | INFO | metric_rfmetric_manager.py:119 | [16_overlap:Experiment] Creating MLflow experiment: 16_overlap
2026-05-03 19:42:47 | Experiment | INFO | experiment.py:210 | [16_overlap:Experiment] Initialized MetricLogger experiment: 10
2026-05-03 19:42:47 | Experiment | INFO | experiment.py:226 | [16_overlap:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-03 19:42:48 | Experiment | WARNING | experiment.py:381 | [16_overlap:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-03 19:42:48 | Experiment | INFO | experiment.py:383 | [16_overlap:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-03 19:42:48 | Experiment | INFO | experiment.py:392 | [16_overlap:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-03 19:42:48 | Controller | INFO | controller.py:895 | [16_overlap:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-03 19:42:48 | Controller | INFO | controller.py:900 | [16_overlap:Controller] Received 8 pipeline configuration(s)
2026-05-03 19:42:48 | Controller | INFO | controller.py:309 | [16_overlap:Controller] Found 2 unique RAG context(s)
2026-05-03 19:42:48 | Controller | INFO | controller.py:320 | [16_overlap:Controller] Will build new context e57c9922...
2026-05-03 19:42:48 | Controller | INFO | controller.py:320 | [16_overlap:Controller] Will build new context 209afb5c...
2026-05-03 19:42:48 | Controller | INFO | controller.py:346 | [16_overlap:Controller] Building 2 context(s) in parallel...
2026-05-03 19:42:48 | Controller | INFO | controller.py:373 | [16_overlap:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-03 19:42:49 | Controller | INFO | controller.py:461 | [16_overlap:Controller] Submitted 2 build task(s) in parallel
2026-05-03 19:43:20 | Controller | INFO | controller.py:482 | [16_overlap:Controller] Built context 1 (e57c9922...) successfully in 32.11s
2026-05-03 19:43:20 | Controller | INFO | controller.py:482 | [16_overlap:Controller] Built context 2 (209afb5c...) successfully in 32.13s
2026-05-03 19:43:20 | Controller | INFO | controller.py:523 | [16_overlap:Controller] Completed parallel context building for 2 context(s)
2026-05-03 19:43:20 | Controller | INFO | controller.py:920 | [16_overlap:Controller] Created 4 query processing actors (generic pool)
2026-05-03 19:43:20 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 7a859bad725040db8ab7eaca0aeb72fc, 1
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 19fe123a8d6149319e51742e6ef60b7a, 2
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 5104557b7ca7450eba6ed06a899e8a2b, 3
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 618aa98eb42a407f8ef5617000a6459e, 4
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 8b74dd1243944238b4fba513102e8a3b, 5
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: e886b2cb1087476981ed19836acbed61, 6
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: dab8b5121c0e41d08ba533cc5a83812a, 7
2026-05-03 19:43:21 | Experiment | INFO | metric_rfmetric_manager.py:141 | [16_overlap:Experiment] Created MLflow run: 5853bec760314935851bfc1da8f33452, 8
2026-05-03 19:43:21 | Controller | INFO | controller.py:931 | [16_overlap:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-03 19:43:21 | Controller | INFO | controller.py:1118 | [16_overlap:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-03 19:43:21 | Controller | INFO | controller.py:1124 | [16_overlap:Controller] Starting multi-pipeline inference scheduling...
2026-05-03 19:43:21 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-03 19:43:45 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-03 19:43:47 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-03 19:43:50 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-03 19:46:33 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 1 completed shard 0 (1 batches, 168.01s)
2026-05-03 19:46:33 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-03 19:46:52 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 2 completed shard 0 (1 batches, 184.70s)
2026-05-03 19:46:52 | Controller | INFO | controller.py:1422 | [16_overlap:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-03 19:49:00 | Controller | INFO | controller.py:1299 | [16_overlap:Controller] Pipeline 4 completed shard 0 (1 batches, 306.54s)
