2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 2ae1e3cd)
2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 19:51:11 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 19:51:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 19:51:13 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 19:59:11 | Controller | INFO | controller.py:1192 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed all 4 shards
2026-05-07 19:59:11 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed shard 3 (1 batches, 477.59s)
2026-05-07 19:59:11 | Controller | INFO | controller.py:1386 | [otran_aliang_final_configs_1:Controller] All pipelines completed all shards!
2026-05-07 19:59:11 | Controller | INFO | controller.py:695 | [otran_aliang_final_configs_1:Controller] Computing final metrics for all pipelines...
2026-05-07 19:59:11 | Experiment | INFO | metric_rfmetric_manager.py:190 | [otran_aliang_final_configs_1:Experiment] Ending run: 1a20d6868a704eb0b96a1af5bae265a5, 1 in rf_mlflow
2026-05-07 19:59:11 | Experiment | WARNING | metric_mlflow_manager.py:101 | [otran_aliang_final_configs_1:Experiment] Run 1a20d6868a704eb0b96a1af5bae265a5 is not the active run, no local context to clear
2026-05-07 19:59:11 | Controller | INFO | controller.py:853 | [otran_aliang_final_configs_1:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-07 19:59:11 | ExperimentUtils | INFO | experiment_utils.py:180 | [otran_aliang_final_configs_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 19:59:11 | ExperimentUtils | INFO | experiment_utils.py:188 | [otran_aliang_final_configs_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 19:59:11 | ExperimentUtils | INFO | experiment_utils.py:154 | [otran_aliang_final_configs_1:ExperimentUtils] Experiment otran_aliang_final_configs_1 ended
2026-05-07 19:59:13 | Experiment | INFO | experiment.py:574 | [otran_aliang_final_configs_1:Experiment] All actors shut down
2026-05-07 19:59:13 | Experiment | INFO | experiment.py:575 | [otran_aliang_final_configs_1:Experiment] Dispatcher will automatically shut down (daemon thread)
