2026-05-01 22:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 22:15:45 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 22:15:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:15:47 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 22:15:47 | Controller | INFO | controller.py:1299 | [experiment_exploration:Controller] Pipeline 4 completed shard 0 (1 batches, 596.59s)
2026-05-01 22:15:47 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 1 (1 batches)
2026-05-01 22:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experiment_exploration:QueryProcessingActor-3] Reusing existing inference engine (config hash: bd74b5a8)
2026-05-01 22:15:47 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 22:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 22:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-01 22:15:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:15:51 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 22:21:16 | Controller | INFO | controller.py:1299 | [experiment_exploration:Controller] Pipeline 1 completed shard 1 (1 batches, 495.87s)
2026-05-01 22:21:16 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
