2026-05-07 12:08:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:08:15 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 12:08:15 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [otran_aliang_final_configs:QueryProcessingActor-2] Initializing new inference engine (config hash: f2fafd19)
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 12:08:16 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 12:08:16 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:08:18 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 12:08:18 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [otran_aliang_final_configs:QueryProcessingActor-3] Initializing new inference engine (config hash: f2fafd19)
2026-05-07 12:08:18 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
