2026-05-06 21:11:40 | Controller | INFO | controller.py:346 | [experiment_hybrid_10:Controller] Building 1 context(s) in parallel...
2026-05-06 21:11:40 | Controller | INFO | controller.py:373 | [experiment_hybrid_10:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 21:11:42 | Controller | INFO | controller.py:461 | [experiment_hybrid_10:Controller] Submitted 1 build task(s) in parallel
2026-05-06 21:12:07 | Controller | INFO | controller.py:482 | [experiment_hybrid_10:Controller] Built context 1 (a4b1040b...) successfully in 26.80s
2026-05-06 21:12:07 | Controller | INFO | controller.py:523 | [experiment_hybrid_10:Controller] Completed parallel context building for 1 context(s)
2026-05-06 21:12:07 | Controller | INFO | controller.py:920 | [experiment_hybrid_10:Controller] Created 4 query processing actors (generic pool)
2026-05-06 21:12:07 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_10:Experiment] Created MLflow run: 1320021de2c641bd8040d92d41b8b27b, 1
2026-05-06 21:12:07 | Controller | INFO | controller.py:931 | [experiment_hybrid_10:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-06 21:12:07 | Controller | INFO | controller.py:1118 | [experiment_hybrid_10:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 21:12:07 | Controller | INFO | controller.py:1124 | [experiment_hybrid_10:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 21:12:07 | Controller | INFO | controller.py:1422 | [experiment_hybrid_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 21:25:27 | Controller | INFO | controller.py:1299 | [experiment_hybrid_10:Controller] Pipeline 1 completed shard 0 (1 batches, 773.68s)
2026-05-06 21:25:27 | Controller | INFO | controller.py:1422 | [experiment_hybrid_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 21:38:14 | Controller | INFO | controller.py:1299 | [experiment_hybrid_10:Controller] Pipeline 1 completed shard 1 (1 batches, 764.59s)
2026-05-06 21:38:14 | Controller | INFO | controller.py:1422 | [experiment_hybrid_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-06 21:51:14 | Controller | INFO | controller.py:1299 | [experiment_hybrid_10:Controller] Pipeline 1 completed shard 2 (1 batches, 778.60s)
2026-05-06 21:51:14 | Controller | INFO | controller.py:1422 | [experiment_hybrid_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-06 22:04:11 | Controller | INFO | controller.py:1192 | [experiment_hybrid_10:Controller] Pipeline 1 completed all 4 shards
2026-05-06 22:04:12 | Controller | INFO | controller.py:1299 | [experiment_hybrid_10:Controller] Pipeline 1 completed shard 3 (1 batches, 773.83s)
2026-05-06 22:04:12 | Controller | INFO | controller.py:1386 | [experiment_hybrid_10:Controller] All pipelines completed all shards!
2026-05-06 22:04:12 | Controller | INFO | controller.py:695 | [experiment_hybrid_10:Controller] Computing final metrics for all pipelines...
2026-05-06 22:04:12 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_hybrid_10:Experiment] Ending run: 1320021de2c641bd8040d92d41b8b27b, 1 in rf_mlflow
2026-05-06 22:04:12 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_hybrid_10:Experiment] Run 1320021de2c641bd8040d92d41b8b27b is not the active run, no local context to clear
2026-05-06 22:04:12 | Controller | INFO | controller.py:853 | [experiment_hybrid_10:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 22:04:12 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_10:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 22:04:12 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_10:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 22:04:12 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_10:ExperimentUtils] Experiment experiment_hybrid_10 ended
2026-05-06 22:04:15 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_10:Experiment] All actors shut down
2026-05-06 22:04:15 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_10:Experiment] Dispatcher will automatically shut down (daemon thread)
