2026-05-05 17:40:44 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 17:41:00 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 17:41:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:41:03 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 17:41:16 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 17:41:16 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:41:18 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 17:41:23 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:41:23 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:41:25 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 17:43:30 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 17:43:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:43:32 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 17:43:36 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:43:36 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
