2026-05-06 17:33:59 | Controller | INFO | controller.py:1422 | [512_32_temp0.8_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 3 (1 batches)
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp0.8_1:QueryProcessingActor-1] Reusing existing inference engine (config hash: b66d675a)
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp0.8_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp0.8_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp0.8_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp0.8_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 17:33:59 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp0.8_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 17:34:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 17:34:02 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp0.8_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 17:34:40 | Controller | INFO | controller.py:1192 | [512_32_temp0.8_1:Controller] Pipeline 1 completed all 4 shards
2026-05-06 17:34:40 | Controller | INFO | controller.py:1299 | [512_32_temp0.8_1:Controller] Pipeline 1 completed shard 3 (1 batches, 558.66s)
2026-05-06 17:46:09 | Controller | INFO | controller.py:1192 | [512_32_temp0.8_1:Controller] Pipeline 2 completed all 4 shards
2026-05-06 17:46:09 | Controller | INFO | controller.py:1299 | [512_32_temp0.8_1:Controller] Pipeline 2 completed shard 3 (1 batches, 726.60s)
2026-05-06 17:46:09 | Controller | INFO | controller.py:1386 | [512_32_temp0.8_1:Controller] All pipelines completed all shards!
2026-05-06 17:46:09 | Controller | INFO | controller.py:695 | [512_32_temp0.8_1:Controller] Computing final metrics for all pipelines...
2026-05-06 17:46:09 | Experiment | INFO | metric_rfmetric_manager.py:190 | [512_32_temp0.8_1:Experiment] Ending run: b95c8db8bafa40d886db199fd2e9a322, 1 in rf_mlflow
2026-05-06 17:46:09 | Experiment | WARNING | metric_mlflow_manager.py:101 | [512_32_temp0.8_1:Experiment] Run b95c8db8bafa40d886db199fd2e9a322 is not the active run, no local context to clear
2026-05-06 17:46:09 | Controller | INFO | controller.py:853 | [512_32_temp0.8_1:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 17:46:10 | Experiment | INFO | metric_rfmetric_manager.py:190 | [512_32_temp0.8_1:Experiment] Ending run: a9a5f439244d42f7bf706e30f5f1c4a5, 2 in rf_mlflow
2026-05-06 17:46:10 | Experiment | WARNING | metric_mlflow_manager.py:101 | [512_32_temp0.8_1:Experiment] Run a9a5f439244d42f7bf706e30f5f1c4a5 is not the active run, no local context to clear
2026-05-06 17:46:10 | Controller | INFO | controller.py:853 | [512_32_temp0.8_1:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-06 17:46:10 | ExperimentUtils | INFO | experiment_utils.py:180 | [512_32_temp0.8_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 17:46:10 | ExperimentUtils | INFO | experiment_utils.py:188 | [512_32_temp0.8_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 17:46:10 | ExperimentUtils | INFO | experiment_utils.py:154 | [512_32_temp0.8_1:ExperimentUtils] Experiment 512_32_temp0.8_1 ended
2026-05-06 17:46:12 | Experiment | INFO | experiment.py:574 | [512_32_temp0.8_1:Experiment] All actors shut down
2026-05-06 17:46:12 | Experiment | INFO | experiment.py:575 | [512_32_temp0.8_1:Experiment] Dispatcher will automatically shut down (daemon thread)
