2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 04:28:04 | Controller | INFO | controller.py:1299 | [experiment_hybrid_6:Controller] Pipeline 1 completed shard 2 (1 batches, 377.29s)
2026-05-06 04:28:04 | Controller | INFO | controller.py:1422 | [experiment_hybrid_6:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_6:QueryProcessingActor-0] Reusing existing inference engine (config hash: ba9e1c5f)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_6:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 04:33:02 | Controller | INFO | controller.py:1192 | [experiment_hybrid_6:Controller] Pipeline 1 completed all 4 shards
2026-05-06 04:33:02 | Controller | INFO | controller.py:1299 | [experiment_hybrid_6:Controller] Pipeline 1 completed shard 3 (1 batches, 296.52s)
2026-05-06 04:33:02 | Controller | INFO | controller.py:1386 | [experiment_hybrid_6:Controller] All pipelines completed all shards!
2026-05-06 04:33:02 | Controller | INFO | controller.py:695 | [experiment_hybrid_6:Controller] Computing final metrics for all pipelines...
2026-05-06 04:33:03 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_hybrid_6:Experiment] Ending run: 7c2a0646e5ce455aa0f0be8fc5cc77a4, 1 in rf_mlflow
2026-05-06 04:33:03 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_hybrid_6:Experiment] Run 7c2a0646e5ce455aa0f0be8fc5cc77a4 is not the active run, no local context to clear
2026-05-06 04:33:03 | Controller | INFO | controller.py:853 | [experiment_hybrid_6:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 04:33:06 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_6:Experiment] All actors shut down
2026-05-06 04:33:06 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_6:Experiment] Dispatcher will automatically shut down (daemon thread)
2026-05-06 04:37:51 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_7:Experiment] Experiment experiment_hybrid_7 created with Experiment ID: 39 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_7
2026-05-06 04:38:08 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_7:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 04:38:08 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_7:Experiment] Creating MLflow experiment: experiment_hybrid_7
2026-05-06 04:38:08 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_7:Experiment] Initialized MetricLogger experiment: 36
2026-05-06 04:38:08 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_7:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 04:38:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 04:38:11 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_7:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 04:38:11 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_7:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 04:38:11 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_7:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 04:38:11 | Controller | INFO | controller.py:895 | [experiment_hybrid_7:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 04:38:11 | Controller | INFO | controller.py:900 | [experiment_hybrid_7:Controller] Received 1 pipeline configuration(s)
2026-05-06 04:38:11 | Controller | INFO | controller.py:309 | [experiment_hybrid_7:Controller] Found 1 unique RAG context(s)
2026-05-06 04:38:11 | Controller | INFO | controller.py:320 | [experiment_hybrid_7:Controller] Will build new context c8719ebe...
2026-05-06 04:38:11 | Controller | INFO | controller.py:346 | [experiment_hybrid_7:Controller] Building 1 context(s) in parallel...
2026-05-06 04:38:11 | Controller | INFO | controller.py:373 | [experiment_hybrid_7:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 04:38:12 | Controller | INFO | controller.py:461 | [experiment_hybrid_7:Controller] Submitted 1 build task(s) in parallel
2026-05-06 04:38:37 | Controller | INFO | controller.py:482 | [experiment_hybrid_7:Controller] Built context 1 (c8719ebe...) successfully in 25.44s
2026-05-06 04:38:37 | Controller | INFO | controller.py:523 | [experiment_hybrid_7:Controller] Completed parallel context building for 1 context(s)
2026-05-06 04:38:37 | Controller | INFO | controller.py:920 | [experiment_hybrid_7:Controller] Created 4 query processing actors (generic pool)
2026-05-06 04:38:37 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_7:Experiment] Created MLflow run: 413b5d9ec0fe4928a59898fa2edbdd39, 1
2026-05-06 04:38:37 | Controller | INFO | controller.py:931 | [experiment_hybrid_7:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-06 04:38:37 | Controller | INFO | controller.py:1118 | [experiment_hybrid_7:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 04:38:37 | Controller | INFO | controller.py:1124 | [experiment_hybrid_7:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 04:38:37 | Controller | INFO | controller.py:1422 | [experiment_hybrid_7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 04:49:27 | Controller | INFO | controller.py:1299 | [experiment_hybrid_7:Controller] Pipeline 1 completed shard 0 (1 batches, 624.11s)
2026-05-06 04:49:27 | Controller | INFO | controller.py:1422 | [experiment_hybrid_7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 05:02:17 | Controller | INFO | controller.py:1299 | [experiment_hybrid_7:Controller] Pipeline 1 completed shard 1 (1 batches, 767.71s)
2026-05-06 05:02:17 | Controller | INFO | controller.py:1422 | [experiment_hybrid_7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-06 05:11:58 | Controller | INFO | controller.py:1299 | [experiment_hybrid_7:Controller] Pipeline 1 completed shard 2 (1 batches, 580.00s)
2026-05-06 05:11:58 | Controller | INFO | controller.py:1422 | [experiment_hybrid_7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
