2026-05-07 17:07:17 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 17:14:59 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 1 completed shard 0 (1 batches, 467.53s)
2026-05-07 17:14:59 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-0] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 17:14:59 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 17:14:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:15:01 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 17:15:12 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 2 completed shard 0 (1 batches, 477.66s)
2026-05-07 17:15:12 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-1] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:15:12 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-1] Deserializing FAISS index for this actor...
